epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,9994.48,1.58731,2.31326,1.71025,0.01309,0.72274,0.52352,0.45039,0.45497,0.27927,0.51991,0.44847,0.44943,0.29936,1.64523,2.36865,1.78835,0.0285,0,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,10231.3,1.60528,2.30539,1.68147,0.01308,0.71598,0.70079,0.44942,0.47278,0.28402,0.70051,0.44655,0.4605,0.30986,1.64905,2.3357,1.78244,0.02871,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,10469,1.6007,2.30111,1.69059,0.013,0.70353,0.52196,0.46744,0.46923,0.29271,0.68522,0.44352,0.46024,0.31106,1.61254,2.34874,1.77724,0.02632,0,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,10706.8,1.60609,2.32038,1.69153,0.01283,0.68992,0.65892,0.45611,0.45523,0.28371,0.66506,0.4598,0.45206,0.29789,1.59378,2.33842,1.78009,0.02695,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,10943.1,1.58538,2.29252,1.64361,0.01296,0.67194,0.66708,0.47776,0.48984,0.30154,0.64552,0.48226,0.484,0.31498,1.60866,2.32265,1.80115,0.0269,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,11180.7,1.59602,2.28348,1.66605,0.01269,0.69062,0.49323,0.46635,0.4694,0.28791,0.53969,0.44252,0.46285,0.31302,1.62186,2.33862,1.76366,0.02742,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,11418.8,1.59142,2.27943,1.63156,0.01256,0.66712,0.6006,0.44169,0.48374,0.27855,0.59939,0.44008,0.47275,0.31426,1.64948,2.30942,1.77607,0.02903,0,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,11654.6,1.57442,2.26899,1.61911,0.01227,0.67335,0.57086,0.46732,0.4967,0.3023,0.61017,0.47163,0.48891,0.32514,1.63827,2.34502,1.74225,0.02831,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,11892.4,1.5801,2.25905,1.63679,0.01259,0.67375,0.55292,0.46452,0.48017,0.29526,0.56103,0.45867,0.47261,0.31466,1.62747,2.27558,1.73047,0.02781,0,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,12130.3,1.57911,2.2928,1.64211,0.01228,0.66911,0.56709,0.48591,0.4879,0.29237,0.57777,0.48062,0.47707,0.3119,1.6325,2.31094,1.74412,0.02807,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,12367.2,1.56598,2.24931,1.60864,0.01251,0.65483,0.52284,0.46323,0.46984,0.28141,0.55808,0.45285,0.46527,0.30173,1.64627,2.39567,1.80744,0.02868,0,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,12603,1.58969,2.26732,1.59753,0.01231,0.67459,0.57897,0.46996,0.47335,0.28894,0.57223,0.47,0.46095,0.30367,1.60827,2.33575,1.78849,0.02694,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,12840.1,1.57424,2.21645,1.5947,0.01242,0.6589,0.55215,0.50972,0.49982,0.30605,0.69368,0.46714,0.49493,0.32481,1.60848,2.29912,1.71688,0.02701,0,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,13077.5,1.54624,2.17672,1.55974,0.01248,0.64275,0.53945,0.47257,0.48595,0.31372,0.55235,0.49963,0.48363,0.32272,1.58927,2.30999,1.7463,0.02595,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,13312.8,1.55991,2.20443,1.56188,0.01213,0.64296,0.68695,0.46147,0.48738,0.2906,0.67183,0.47113,0.47588,0.3137,1.63304,2.31673,1.78356,0.02788,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,13550.1,1.53879,2.17017,1.54784,0.01217,0.62862,0.54676,0.47492,0.48371,0.30673,0.541,0.46949,0.4703,0.31708,1.60622,2.33629,1.77145,0.02706,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
