epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,3226.44,1.21327,2.33333,0.47167,0.01713,0.76023,0.20614,0.29997,0.18166,0.10475,0.19703,0.29002,0.17659,0.10654,1.16474,2.57582,0.52364,0.01529,0,0.000530621,0.000530621,0.000530621
57,3281.57,1.28181,2.40764,0.46495,0.01862,0.74986,0.24012,0.24493,0.18281,0.10722,0.24309,0.24382,0.18775,0.11426,1.1939,2.52429,0.52095,0.01554,0,0.000525123,0.000525123,0.000525123
58,3336.35,1.24313,2.35357,0.4615,0.0181,0.76665,0.24425,0.26483,0.17938,0.10392,0.247,0.27074,0.18524,0.10884,1.15935,2.52215,0.5165,0.01493,0,0.000519625,0.000519625,0.000519625
59,3393.88,1.25303,2.3817,0.45954,0.01749,0.78506,0.19828,0.27388,0.18388,0.10384,0.22515,0.28125,0.18503,0.10855,1.19331,2.53697,0.51235,0.01589,0,0.000514128,0.000514128,0.000514128
60,3449.86,1.21718,2.34547,0.46591,0.01741,0.7648,0.22531,0.29981,0.19004,0.11181,0.24651,0.29206,0.18873,0.11347,1.12635,2.57386,0.51227,0.01474,0,0.00050863,0.00050863,0.00050863
61,3506.39,1.21995,2.32188,0.46204,0.0171,0.74617,0.19517,0.29529,0.18251,0.10484,0.20774,0.30043,0.18934,0.10467,1.1482,2.54408,0.51392,0.01505,0,0.000503132,0.000503132,0.000503132
62,3565.37,1.17954,2.30913,0.4613,0.01645,0.74773,0.28294,0.26956,0.18655,0.10656,0.28652,0.25327,0.19156,0.11869,1.15368,2.50821,0.51231,0.01512,0,0.000497634,0.000497634,0.000497634
63,3620.16,1.22742,2.33407,0.4495,0.01679,0.75243,0.25053,0.25933,0.20655,0.12364,0.24967,0.25969,0.20599,0.12853,1.17921,2.61912,0.51339,0.01514,0,0.000492136,0.000492136,0.000492136
64,3680.8,1.17289,2.23645,0.4634,0.01635,0.75518,0.25305,0.28651,0.21092,0.13005,0.25157,0.2784,0.21001,0.1317,1.17383,2.51247,0.51726,0.01507,0,0.000486639,0.000486639,0.000486639
65,3738.9,1.20578,2.2978,0.45068,0.01708,0.7323,0.33492,0.30028,0.23715,0.14321,0.3301,0.30027,0.23441,0.14238,1.18186,2.51227,0.50595,0.01555,0,0.000481141,0.000481141,0.000481141
66,3794.66,1.22982,2.29529,0.44895,0.01734,0.74163,0.26446,0.32404,0.21362,0.12211,0.25836,0.31915,0.20875,0.12927,1.17824,2.61174,0.51362,0.01542,0,0.000475643,0.000475643,0.000475643
